,Nome da Música,ID do Artista,Letra Tratada,Raiva,Medo,Alegria,Tristeza,Surpresa,Gênero,Valor
113731,I Love Tutoia Com Muito Amor,/lucas-fellix/,vila hoje cidade conver conhecer forte salina em o passado belo pra viver donar mandar em o pedaco exuberante sensacional rio lagoa duna mar turistico fenomenal levantar poeira liberar io io io io io io gritar pro mundo inteiro i lover tutoia amor io io io io io io ligar em o pegado sucesso chegar io io io io io io gritar pro mundo inteiro i lover tutoia amor io io io io io io ligar em o potencia parodia estourar vila hoje cidade conver conhecer forte salina em o passado belo pra viver donar mandar em o pedaco exuberante sensacional rio lagoa duna mar turistico fenomenal levantar poeira liberar io io io io io io gritar pro mundo inteiro i lover tutoia amor io io io io io io ligar em o pegado sucesso chegar io io io io io io gritar pro mundo inteiro i lover tutoia amor io io io io io io ligar em o potencia parodia estourar,0.1403972335858269,0.1292817806126549,0.3281577019952233,0.1321457849582655,0.0175049966201184,sertanejo,1
113732,Para Sempre Mucunã,/lucas-fellix/,vir ai bumba boi mucuno mucuno boizinho mucuno por o amor conhecer por o bailado apaixoneir por o carisma contagia aproximar voce poderar separa deus planejar apagar amor livra boato a o respeito senhor amar sao joao derrame em o bencao protecao licenca apresentar Batalhao pesar tutoia maranhao amar sao joao derrame em o bencao protecao licenca apresentar Batalhao pesar tutoia maranhao ano historia homenagem tutoia festa de o gloria deus tupar em este cordao pesar de o boi exaltar forte ritmo grandioso comemoracao mundo fantasia bailado cativo show em este noite sao joao eis predileto eis unico singelo beleza outro nao ha mucuno amar ano historia homenagem tutoia festa de o gloria deus tupar em este cordao pesar de o boi exaltar forte ritmo grandioso comemoracao mundo fantasia bailado cativo show em este noite sao joao eis predileto eis unico singelo beleza outro nao ha mucuno amar,0.1725942669203503,0.1516135260229929,0.209798604715615,0.1557254701678173,0.0104614970041437,sertanejo,1
113733,Tutoia Beach,/lucas-fellix/,ei festa hoje to mostrar fiz dou cidade natal tutoia beach tutoia maranhao mundo lf ligar em o potencia tutoia princês taoer belo pedaco donar forte feliz acolhedor terra repleta encanto beleza historia fantastico tutoiense princês taoer belo de o coracao cidade humilde forte religioso praia duno lagoa diversao inspirador convincente maravilhosa vir conhecer tutoia ano emancipacao politico fase mudanca evoluir populacao crescente hospitaleira amar famoso belo atraente terra de o camarao de o tremembe Guerreira eis nao vontade abandona ei festa hoje to mostrar fiz dou cidade natal tutoia beach ei festa hoje to mostrar fiz dou cidade natal tutoia beach princesa taoer belo pedaco donar forte feliz acolhedor terra repleta encanto beleza historia fantastico tutoiense princês taoer belo de o coracao cidade humilde forte religioso praia duno lagoa diversao inspirador convincente maravilhosa vir conhecer tutoia ano emancipacao politico fase mudanca evoluir populacao crescente hospitaleira amar famoso belo atraente terra de o camarao de o tremembe Guerreira eis nao vontade abandona ei festa hoje to mostrar fiz dou cidade natal tutoia beach ei festa hoje to mostrar fiz dou cidade natal tutoia beach tutoia maranhao mundo ligar em o potencia tutoia tutoia beach,0.0091161247459238,0.0058388456585815,0.9597112543415274,0.0078713012684599,0.0076940706931054,sertanejo,1
113734,Tutóia Viva 80 Anos,/lucas-fellix/,de o belo areia dourar terra nobre de o tremembe heranca reliquia preservar visitar procurar eis conhece nao esquecer voltar ano vivo tutoia eis raiz joia tesouro descobrir de o belo areia dourar terra nobre de o tremembe heranca reliquia preservar visitar procurar eis conhece nao esquecer voltar ano vivo tutoia eis raiz joia tesouro descobrir de o praia de o barra ponta de o andreza de o duna areia ate arpoador agradeco Deus pai salvador cercar por o mangue beleza natural forte firme guerreira continuaro vir conhecer viver tutoia humilde pescador de o praia de o barra ponta de o andreza de o duna areia ate arpoador agradeco Deus pai salvador cercar por o mangue beleza natural forte firme guerreira continuaro vir conhecer viver tutoia humilde pescador garrir flor perfumar ar mata florir verde coqueiral paraiso encontrar amor tutoia viva ano princesa de o litoral garrir flor perfumar ar mata florir verde coqueiral paraiso encontrar amor tutoia viva ano princesa de o litoral de o historia contar antigo recordarei faco parter cidadao tir amarei cidade honesto honrar terra encanto cultura forte amar obrigar senhor protetor em o morado cidade honesto honrar terra encanto cultura forte amar obrigar senhor protetor em o morada,0.0156575382454318,0.0078548638732171,0.9447440252406518,0.0115113824023862,0.0074133348534814,sertanejo,1
113735,Axé na Veia,/lucas-fellix/,surgir som bombar lotar fervir abalar espalhar legal movimentar rua beco esquino cidade inspiracoes bater alegre envolvente voce ira gostar Carnaval chegar hoje prometer amor jogar pra comecar hit estourar surgir som bombar lotar fervir abalar espalhar legal movimentar rua beco esquino cidade inspiracoes bater alegre envolvente voce ira gostar Carnaval chegar hoje prometer amor jogar pra comecar hit estourar tomar conta de o cidade ooo trazer harmonia felicidade ooo jogar em esse levada garra amor dance vibre cante pule hoje to to to desejo vontade ooo cantar forte pra cidade ooo subir trio noite inteirar mostrar axe em o veia tomar conta de o cidade ooo trazer harmonia felicidade ooo jogar em esse levada garra amor dance vibre cante pule hoje to to to desejo vontade ooo cantar forte pra cidade ooo subir trio noite inteirar mostrar axe em o veia ligar paredao aumentar som dj ta massa soltar vozeirao astral pra extravasa hoje to to axe em o veia Carnaval mar onda dominar viralizar dj arrasa som conquistar radio tocar lf nao Carnaval chegar hoje festa amor coreografar embalo embalo,0.0572073131566864,0.0494535600533707,0.7321901072282339,0.052343444980215,0.0177178957965223,sertanejo,1
113736,Axécoustic,/lucas-fellix/,puxei por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor Misturo axe pop rock nacional nao nascer em o bahia dou a o Carnaval comigo respeito merecer brasileiro achar voce entender gostar acustico de o jeito romantico botor fe vivo em um mar inspiracao prepare ai mulher em esse levar voce tambem hora libera misturo axe pop rock nacional nao nascer em o bahia dou a o Carnaval comigo respeito merecer brasileiro achar voce entender gostar acustico de o jeito romantico botor fe vivo em um mar inspiracao prepare ai mulher em esse levar voce tambem hora puxei por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor puxeir por o raiz batuque chamar parti axecustic amor,0.1862587398965841,0.1751096257241441,0.1034317516023285,0.177111755229998,0.0092150911223141,sertanejo,1
113737,Canto da Sereia,/lucas-fellix/,sentar em o beira de o praia vento em o cara lembrar de o velho cantar ondas de o mar ninguem la ouvir talento suave flor abrir linda estrela brilha pleno constelacao so sentir certo errar nao cair tentacao sentar em o beira de o praia vento em o cara lembrar de o velho cantar ondas de o mar ninguem la ouvir talento suave flor abrir linda estrela brilha pleno constelacao so sentir certo errar nao cair tentacao vumbor canto jogo flor a o mar rainha iemanja vumbora pular jogar danca festa recomecar vumbor canto jogo flor a o mar rainha iemanja vumbora pular jogar danca festa recomecar sereia rainho de o mar canto de o sereia sereia rainho de o mar contar jogar refrao ah ah ah oo ah ah ah oo ah ah ah oo passar Vou avisar Carnaval chegar ah ah ah oo ah ah ah oo ah ah ah oo querer ouvir canto de o Sereia chegar ah ah ah oo ah ah ah oo ah ah ah oo avisa improvisso noite amor ah ah ah oo ah ah ah oo ah ah ah oo canto de o Sereia chegar,0.1803317079087718,0.1747095170198006,0.110623729997314,0.1764133403252341,0.0123637760989365,sertanejo,1
113738,Cheguei Vai Ter,/lucas-fellix/,pra aquecer pra embalar noite vir trazer frio refresca cheguei comecar movimento voce danca danca danca cheguei cheguei em esse swing nao agito potente fa nao largo fiz fiz carinho dedicacao ensin passinho junto povao cheguei cheguei pra jogar pra em o esquerda embalei em o cheguei cheguei jogar pra em o esquerda embalei pra aquecer pra embalar noite vir trazer frio refresca cheguei comecar movimento voce danca danca danca cheguei cheguei em esse swing nao agito potente fa nao largo fiz fiz carinho dedicacao ensin passinho junto povao cheguei cheguei pra jogar pra em o esquerda embalei em o cheguei cheguei jogar pra em o esquerda embalei dia chegar ano alegrio tom musica marca pra conhecer pra destacar cuidar lf sarar cheguei,0.1781185090192592,0.1721260027959942,0.1242910975124682,0.1746985361503901,0.0091893101343883,sertanejo,1
113739,Decola,/lucas-fellix/,chegar dia batuque buzar festa comecar bloco decola tropa formar faltar bagunca bagunco bagunco bagunco bagunco bagunco serar rit de o verao bagunca agradecer erguer mao folia conquista morar em o coracao luz livrar de o escuridao chegar dia batuque buzar festa comecar bloco decola tropa formada faltar bagunca bagunco bagunco bagunco bagunco bagunco serar rit de o verao bagunca agradecer erguer mao folia conquista morar em o coracao luz livrar de o escuridao em esse swing balance envolvimente festa nao festa nao dance de o jeito pra sair perfeito Carnaval ta massa Carnaval ta massa em esse swing balance evolvimente festa nao festa nao dance de o jeito pra sair perfeito Carnaval ta massa Carnaval ta massa Balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao em esse swing balance evolvimente festa nao festa nao dance de o jeito pra sair perfeito Carnaval ta massa Carnaval ta massa em esse swing balance envolvimente festa nao festa nao dance de o jeito pra sair perfeito Carnaval ta massa Carnaval ta massa Balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao balancaae decolar festa nao nao nao nao,0.1676323320483786,0.1569458717771339,0.1883486052975054,0.160190718778176,0.015844337060116,sertanejo,1
113740,Dias de Sol - Luca Féllix,/lucas-fellix/,dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao simbor levar batuque ta massa mandar manda manda festa comeca ta ligar so so voce som alucinar sol clareia jogar pule dale metaleira som alucinar sol em o bronzea preparese entrar em o clima Sacode engodo ta vir dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao simbor levar batuque ta massa mandar manda manda festa comeca ta ligar so so voce som alucinar sol clareia jogar pule dale metaleira som alucinar sol em o bronzea preparese entrar em o clima Sacode engodo ta vir dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao dia sol calor amor paixao Carnaval Carnaval chegar pulsar forte coracao dia sol calor amor paixao Carnaval Carnaval chegar forca animar nacao,0.1307209150865671,0.1151071840897201,0.4019981389865273,0.1165783628704954,0.0179106941213829,sertanejo,1
